,line,destination,stop,bus,datetime,estimateArrive,DistanceBus
0,132,MONCLOA,93,4827,2020-05-18 12:11:45.624268,29,137
1,132,MONCLOA,93,4828,2020-05-18 12:11:45.624268,317,1701
2,82,PITIS,1720,4721,2020-05-18 12:11:46.453996,200,838
3,82,PITIS,1720,4708,2020-05-18 12:11:46.453996,1212,6105
4,132,HOSPITAL LA PAZ,3278,4832,2020-05-18 12:11:46.937918,648,3557
5,132,HOSPITAL LA PAZ,3278,4835,2020-05-18 12:11:46.937918,795,4278
6,133,CALLAO,1360,4685,2020-05-18 12:11:46.076532,151,947
7,133,CALLAO,1360,4697,2020-05-18 12:11:46.076532,726,2869
8,1,PROSPERIDAD,745,124,2020-05-18 12:11:46.869303,481,1389
9,1,PROSPERIDAD,745,119,2020-05-18 12:11:46.869303,645,1748
10,133,MIRASIERRA,1340,4699,2020-05-18 12:11:47.212301,631,3942
11,133,MIRASIERRA,1340,4693,2020-05-18 12:11:47.212301,1317,4637
12,1,PROSPERIDAD,726,121,2020-05-18 12:11:45.117217,1018,3639
13,1,PROSPERIDAD,726,118,2020-05-18 12:11:45.117217,1953,6572
14,133,MIRASIERRA,1637,4860,2020-05-18 12:11:47.212213,371,1727
15,133,MIRASIERRA,1637,5474,2020-05-18 12:11:47.212213,1052,6411
16,132,MONCLOA,3287,4827,2020-05-18 12:11:45.507436,227,917
17,132,MONCLOA,3287,4828,2020-05-18 12:11:45.507436,528,2474
18,133,CALLAO,193,4695,2020-05-18 12:11:45.116538,97,337
19,44,CALLAO,193,4734,2020-05-18 12:11:45.116538,389,991
20,1,PROSPERIDAD,193,118,2020-05-18 12:11:45.116538,391,1089
21,133,CALLAO,193,4689,2020-05-18 12:11:45.116538,513,3422
22,1,PROSPERIDAD,193,123,2020-05-18 12:11:45.116538,1238,1585
23,44,CALLAO,193,4737,2020-05-18 12:11:45.116538,1489,4144
24,133,MIRASIERRA,1341,4699,2020-05-18 12:11:45.103822,718,5140
25,133,MIRASIERRA,1341,4693,2020-05-18 12:11:45.103822,1394,5925
26,132,MONCLOA,1648,4825,2020-05-18 12:11:47.214028,222,915
27,132,MONCLOA,1648,4838,2020-05-18 12:11:47.214028,512,1941
28,132,HOSPITAL LA PAZ,3688,4835,2020-05-18 12:11:45.630231,104,157
29,133,MIRASIERRA,3688,4699,2020-05-18 12:11:45.630231,367,1331
30,82,PITIS,3688,4723,2020-05-18 12:11:45.630231,414,167
31,133,MIRASIERRA,3688,4693,2020-05-18 12:11:45.630231,1068,2162
32,82,PITIS,3688,4715,2020-05-18 12:11:45.630231,1136,986
33,132,HOSPITAL LA PAZ,3688,4836,2020-05-18 12:11:45.630231,1468,274
34,133,CALLAO,3572,4697,2020-05-18 12:11:45.136440,325,395
35,133,CALLAO,3572,4694,2020-05-18 12:11:45.136440,925,1323
36,1,PROSPERIDAD,721,124,2020-05-18 12:11:45.117955,92,260
37,1,PROSPERIDAD,721,119,2020-05-18 12:11:45.117955,297,657
38,133,MIRASIERRA,1745,4694,2020-05-18 12:11:46.961430,70,461
39,133,MIRASIERRA,1745,4860,2020-05-18 12:11:46.961430,693,3561
40,82,MONCLOA,1712,4713,2020-05-18 12:11:46.815195,708,4427
41,82,PITIS,1691,4708,2020-05-18 12:11:45.543332,141,802
42,132,HOSPITAL LA PAZ,1691,4832,2020-05-18 12:11:45.543332,335,2066
43,132,HOSPITAL LA PAZ,1691,4835,2020-05-18 12:11:45.543332,510,2570
44,82,PITIS,1691,4723,2020-05-18 12:11:45.543332,891,2585
45,44,CALLAO,3687,4734,2020-05-18 12:11:46.845339,69,175
46,1,PROSPERIDAD,3687,118,2020-05-18 12:11:46.845339,79,290
47,1,PROSPERIDAD,3687,123,2020-05-18 12:11:46.845339,908,728
48,44,CALLAO,3687,4737,2020-05-18 12:11:46.845339,1114,3195
49,44,MARQUES DE VIANA,4816,4718,2020-05-18 12:11:47.223747,586,1915
50,1,CRISTO REY,4816,117,2020-05-18 12:11:47.223747,1282,4051
51,44,MARQUES DE VIANA,4816,4741,2020-05-18 12:11:47.223747,1440,2039
52,1,CRISTO REY,4816,122,2020-05-18 12:11:47.223747,2100,6937
53,44,CALLAO,737,4734,2020-05-18 12:11:46.451791,212,457
54,1,PROSPERIDAD,737,118,2020-05-18 12:11:46.451791,276,588
55,133,CALLAO,737,4689,2020-05-18 12:11:46.451791,357,2856
56,1,PROSPERIDAD,737,123,2020-05-18 12:11:46.451791,1101,1012
57,133,CALLAO,737,4685,2020-05-18 12:11:46.451791,1240,10594
58,44,CALLAO,737,4737,2020-05-18 12:11:46.451791,1263,3492
59,82,PITIS,3391,4708,2020-05-18 12:11:45.612812,599,3360
60,82,PITIS,3391,4723,2020-05-18 12:11:45.612812,1241,5166
61,82,MONCLOA,1715,4713,2020-05-18 12:11:47.213830,577,3582
62,82,MONCLOA,1715,4710,2020-05-18 12:11:47.213830,1306,4875
63,133,MIRASIERRA,1352,5474,2020-05-18 12:11:46.703998,336,3151
64,133,MIRASIERRA,1352,4699,2020-05-18 12:11:46.703998,1050,8145
65,44,CALLAO,4022,4734,2020-05-18 12:11:46.790107,24,22
66,1,PROSPERIDAD,4022,118,2020-05-18 12:11:46.790107,32,106
67,82,MONCLOA,4022,4715,2020-05-18 12:11:46.790107,67,327
68,132,MONCLOA,4022,4824,2020-05-18 12:11:46.790107,351,1681
69,1,PROSPERIDAD,4022,123,2020-05-18 12:11:46.790107,862,587
70,132,MONCLOA,4022,4837,2020-05-18 12:11:46.790107,928,4533
71,44,CALLAO,4022,4737,2020-05-18 12:11:46.790107,1068,3014
72,82,MONCLOA,4022,4717,2020-05-18 12:11:46.790107,1172,5477
73,132,MONCLOA,1692,4837,2020-05-18 12:11:46.515585,473,2267
74,82,MONCLOA,1692,4717,2020-05-18 12:11:46.515585,708,3210
75,132,MONCLOA,1692,4825,2020-05-18 12:11:46.515585,813,3880
76,82,MONCLOA,1692,4713,2020-05-18 12:11:46.515585,1267,7698
77,1,PROSPERIDAD,5138,118,2020-05-18 12:11:46.243674,911,2870
78,1,PROSPERIDAD,5138,123,2020-05-18 12:11:46.243674,1732,3261
79,133,MIRASIERRA,1636,4860,2020-05-18 12:11:45.835393,307,1203
80,133,MIRASIERRA,1636,5474,2020-05-18 12:11:45.835393,1003,6209
81,1,CRISTO REY,732,122,2020-05-18 12:11:46.930659,547,1963
82,1,CRISTO REY,732,116,2020-05-18 12:11:46.930659,1261,2721
83,132,MONCLOA,4643,4825,2020-05-18 12:11:45.873085,68,241
84,132,MONCLOA,4643,4838,2020-05-18 12:11:45.873085,371,1267
85,133,MIRASIERRA,734,4699,2020-05-18 12:11:46.928634,170,626
86,44,MARQUES DE VIANA,734,4718,2020-05-18 12:11:46.928634,374,1220
87,133,MIRASIERRA,734,4693,2020-05-18 12:11:46.928634,839,1363
88,1,CRISTO REY,734,117,2020-05-18 12:11:46.928634,1012,3359
89,44,MARQUES DE VIANA,734,4741,2020-05-18 12:11:46.928634,1227,1384
90,1,CRISTO REY,734,122,2020-05-18 12:11:46.928634,1823,6180
91,132,MONCLOA,1515,4838,2020-05-18 12:11:45.167992,95,329
92,132,MONCLOA,1515,4827,2020-05-18 12:11:45.167992,460,1798
93,1,CRISTO REY,69,117,2020-05-18 12:11:46.692059,231,1007
94,1,CRISTO REY,69,122,2020-05-18 12:11:46.692059,1116,3990
95,82,MONCLOA,1700,4717,2020-05-18 12:11:45.087834,462,1880
96,82,MONCLOA,1700,4713,2020-05-18 12:11:45.087834,1078,6496
97,132,MONCLOA,1690,4837,2020-05-18 12:11:47.212957,509,2502
98,82,MONCLOA,1690,4717,2020-05-18 12:11:47.212957,756,3456
99,132,MONCLOA,1690,4825,2020-05-18 12:11:47.212957,850,4154
100,82,MONCLOA,1690,4713,2020-05-18 12:11:47.212957,1283,7796
101,132,HOSPITAL LA PAZ,3273,4832,2020-05-18 12:11:45.147162,380,2304
102,132,HOSPITAL LA PAZ,3273,4835,2020-05-18 12:11:45.147162,550,2801
103,1,PROSPERIDAD,164,121,2020-05-18 12:11:46.468784,49,102
104,1,PROSPERIDAD,164,118,2020-05-18 12:11:46.468784,954,2849
105,132,MONCLOA,1685,4824,2020-05-18 12:11:47.706637,55,212
106,132,MONCLOA,1685,4837,2020-05-18 12:11:47.706637,581,2977
107,82,MONCLOA,1685,4717,2020-05-18 12:11:47.706637,876,4007
108,82,MONCLOA,1685,4713,2020-05-18 12:11:47.706637,1394,8738
109,132,MONCLOA,1644,4825,2020-05-18 12:11:46.929689,332,1488
110,132,MONCLOA,1644,4838,2020-05-18 12:11:46.929689,647,2507
111,132,MONCLOA,3284,4837,2020-05-18 12:11:45.134354,230,923
112,132,MONCLOA,3284,4825,2020-05-18 12:11:45.134354,558,2427
113,82,MONCLOA,1704,4717,2020-05-18 12:11:46.929061,314,1180
114,82,MONCLOA,1704,4713,2020-05-18 12:11:46.929061,969,5772
115,82,MONCLOA,1634,4713,2020-05-18 12:11:45.884813,263,1729
116,82,MONCLOA,1634,4710,2020-05-18 12:11:45.884813,968,2922
117,133,CALLAO,1617,4685,2020-05-18 12:11:45.134763,107,677
118,133,CALLAO,1617,4697,2020-05-18 12:11:45.134763,678,2748
119,133,CALLAO,735,4695,2020-05-18 12:11:46.789293,7,35
120,44,CALLAO,735,4734,2020-05-18 12:11:46.789293,306,714
121,1,PROSPERIDAD,735,118,2020-05-18 12:11:46.789293,341,843
122,133,CALLAO,735,4689,2020-05-18 12:11:46.789293,431,3129
123,1,PROSPERIDAD,735,123,2020-05-18 12:11:46.789293,1189,1321
124,44,CALLAO,735,4737,2020-05-18 12:11:46.789293,1359,3751
125,82,MONCLOA,1694,4717,2020-05-18 12:11:46.865015,628,2816
126,82,MONCLOA,1694,4713,2020-05-18 12:11:46.865015,1213,7458
127,1,PROSPERIDAD,727,121,2020-05-18 12:11:46.115685,928,3348
128,1,PROSPERIDAD,727,118,2020-05-18 12:11:46.115685,1844,6341
