,datetime,line,direction,busA,busB,hw_pos,headway,busB_ttls
0,2020-05-15 19:11:52.395539,1,2,0,122,0,0,1070
1,2020-05-15 19:11:52.395539,1,2,122,118,1,1559,2629
2,2020-05-15 19:11:52.395539,1,1,0,119,0,0,912
3,2020-05-15 19:11:52.395539,1,1,119,117,1,1401,2313
0,2020-05-15 19:11:51.304636,44,2,0,4741,0,0,1723
1,2020-05-15 19:11:51.304636,44,1,0,4739,0,0,23
2,2020-05-15 19:11:51.304636,44,1,4739,4740,1,1324,1347
0,2020-05-15 19:11:52.072382,82,2,0,4708,0,0,2089
1,2020-05-15 19:11:52.072382,82,1,0,4707,0,0,381
0,2020-05-15 19:11:52.789866,132,1,0,4828,0,0,243
1,2020-05-15 19:11:52.789866,132,1,4828,4700,1,1244,1487
2,2020-05-15 19:11:52.789866,132,2,0,4824,0,0,1261
3,2020-05-15 19:11:52.789866,132,2,4824,4825,1,947,2209
0,2020-05-15 19:11:50.346772,133,2,0,4690,0,0,1452
1,2020-05-15 19:11:50.346772,133,1,0,4686,0,0,841
