,line,datetime,dim,m_dist,anom_size,bus1,bus2,bus3,bus4,bus5,bus6,bus7,bus8,bus9,hw12,hw23,hw34,hw45,hw56,hw67,hw78,hw89,anom
8,1,2020-05-06 14:36:51.267516,1,0.31249,0,120,118,0,0,0,0,0,0,0,1041,0,0,0,0,0,0,0,
9,1,2020-05-06 14:36:51.267516,1,0.21705,0,5529,119,0,0,0,0,0,0,0,870,0,0,0,0,0,0,0,
10,132,2020-05-06 14:36:49.183866,1,0.66618,0,4829,4834,0,0,0,0,0,0,0,305,0,0,0,0,0,0,0,
11,132,2020-05-06 14:36:49.183866,1,1.3311899999999999,0,4834,4830,0,0,0,0,0,0,0,155,0,0,0,0,0,0,0,
13,132,2020-05-06 14:36:49.183866,2,1.9546599999999998,0,4829,4834,4830,0,0,0,0,0,0,305,155,0,0,0,0,0,0,
15,1,2020-05-06 14:36:51.267516,1,0.31249,0,120,118,0,0,0,0,0,0,0,1041,0,0,0,0,0,0,0,0.0
16,1,2020-05-06 14:36:51.267516,1,0.21705,0,5529,119,0,0,0,0,0,0,0,870,0,0,0,0,0,0,0,0.0
17,132,2020-05-06 14:36:49.183866,1,0.66618,0,4829,4834,0,0,0,0,0,0,0,305,0,0,0,0,0,0,0,0.0
18,132,2020-05-06 14:36:49.183866,1,1.33119,0,4834,4830,0,0,0,0,0,0,0,155,0,0,0,0,0,0,0,0.0
20,132,2020-05-06 14:36:49.183866,2,1.95466,0,4829,4834,4830,0,0,0,0,0,0,305,155,0,0,0,0,0,0,0.0
22,1,2020-05-06 14:37:41.260323,1,0.17314,0,120,118,0,0,0,0,0,0,0,996,0,0,0,0,0,0,0,0.0
23,1,2020-05-06 14:37:41.260323,1,0.26659,0,5529,119,0,0,0,0,0,0,0,854,0,0,0,0,0,0,0,0.0
24,132,2020-05-06 14:37:41.823039,1,0.65288,0,4829,4834,0,0,0,0,0,0,0,308,0,0,0,0,0,0,0,0.0
27,1,2020-05-06 14:38:29.372870,1,0.26913,0,120,118,0,0,0,0,0,0,0,1027,0,0,0,0,0,0,0,0.0
28,1,2020-05-06 14:38:29.372870,1,0.30066,0,5529,119,0,0,0,0,0,0,0,843,0,0,0,0,0,0,0,0.0
29,132,2020-05-06 14:38:30.753220,1,0.65731,0,4829,4834,0,0,0,0,0,0,0,307,0,0,0,0,0,0,0,0.0
30,132,2020-05-06 14:38:30.753220,1,0.98538,0,4834,4830,0,0,0,0,0,0,0,233,0,0,0,0,0,0,0,0.0
32,132,2020-05-06 14:38:30.753220,2,1.5815,0,4829,4834,4830,0,0,0,0,0,0,307,233,0,0,0,0,0,0,0.0
34,1,2020-05-06 14:39:19.362801,1,0.3032,0,120,118,0,0,0,0,0,0,0,1038,0,0,0,0,0,0,0,0.0
35,1,2020-05-06 14:39:19.362801,1,0.2573,0,5529,119,0,0,0,0,0,0,0,857,0,0,0,0,0,0,0,0.0
36,132,2020-05-06 14:39:21.378028,1,0.46668,0,4829,4834,0,0,0,0,0,0,0,350,0,0,0,0,0,0,0,0.0
39,1,2020-05-06 14:40:10.831151,1,0.25365,0,120,118,0,0,0,0,0,0,0,1022,0,0,0,0,0,0,0,0.0
40,1,2020-05-06 14:40:10.831151,1,0.23253,0,5529,119,0,0,0,0,0,0,0,865,0,0,0,0,0,0,0,0.0
41,132,2020-05-06 14:40:11.574099,1,0.44451,0,4829,4834,0,0,0,0,0,0,0,355,0,0,0,0,0,0,0,0.0
42,133,2020-05-06 14:40:10.081402,1,0.02829,0,4683,4698,0,0,0,0,0,0,0,744,0,0,0,0,0,0,0,0.0
45,1,2020-05-06 14:41:00.255559,1,0.21959,0,120,118,0,0,0,0,0,0,0,1011,0,0,0,0,0,0,0,0.0
46,1,2020-05-06 14:41:00.255559,1,0.23253,0,5529,119,0,0,0,0,0,0,0,865,0,0,0,0,0,0,0,0.0
47,82,2020-05-06 14:41:01.722151,1,0.50499,0,4712,4705,0,0,0,0,0,0,0,992,0,0,0,0,0,0,0,0.0
48,132,2020-05-06 14:41:01.722151,1,0.43121,0,4829,4834,0,0,0,0,0,0,0,358,0,0,0,0,0,0,0,0.0
49,132,2020-05-06 14:41:01.722151,1,0.37358,0,4834,4830,0,0,0,0,0,0,0,371,0,0,0,0,0,0,0,0.0
